双层LSTM,batch_size = 8,训练20轮，准确率没有明显提高，观察到训练集损失已经十分接近0，甚至出现了0，
可以认为该模型对训练集的拟合已经足够好，但是并没能继续泛化到测试集上，可以认为出现过拟合（overfit），
目前的训练集和测试集的比例是4:1,下一步要寻找更多语料，扩充训练集。
epoch7,batch3900,loss = 0.037655558437108994
epoch7,batch4000,loss = 0.000395787792513147
epoch7,batch4100,loss = 0.4937147796154022
epoch7,batch4200,loss = 0.09624551981687546
epoch7,batch4300,loss = 0.033793773502111435
epoch7,batch4400,loss = 0.005043701268732548
epoch7,batch4500,loss = 0.003576314775273204
epoch7,batch4600,loss = 0.05376800522208214
epoch7,batch4700,loss = 0.00258218077942729
epoch7,batch4800,loss = 0.09971478581428528
epoch7,batch4900,loss = 0.1481582671403885
epoch7,batch5000,loss = 0.031113671138882637
epoch8,batch100,loss = 0.011262733489274979
epoch8,batch200,loss = 0.006572959944605827
epoch8,batch300,loss = 0.0017842738889157772
epoch8,batch400,loss = 0.001160586136393249
epoch8,batch500,loss = 0.0007375754648819566
epoch8,batch600,loss = 1.1557281017303467
epoch8,batch700,loss = 0.13538289070129395
epoch8,batch800,loss = 0.01048825029283762
epoch8,batch900,loss = 0.029663946479558945
epoch8,batch1000,loss = 0.10331116616725922
epoch8,batch1100,loss = 0.15507099032402039
epoch8,batch1200,loss = 0.005016758572310209
epoch8,batch1300,loss = 0.008704150095582008
epoch8,batch1400,loss = 0.14085820317268372
epoch8,batch1500,loss = 0.12352921813726425
epoch8,batch1600,loss = 0.07329993695020676
epoch8,batch1700,loss = 0.0014035754138603806
epoch8,batch1800,loss = 0.1562216430902481
epoch8,batch1900,loss = 0.3324511647224426
epoch8,batch2000,loss = 0.0008893414051271975
epoch8,batch2100,loss = 0.028204571455717087
epoch8,batch2200,loss = 0.003715106751769781
epoch8,batch2300,loss = 0.008489474654197693
epoch8,batch2400,loss = 0.01315897423774004
epoch8,batch2500,loss = 5.256729127722792e-05
epoch8,batch2600,loss = 0.028876513242721558
epoch8,batch2700,loss = 0.03463191166520119
epoch8,batch2800,loss = 0.2589675188064575
epoch8,batch2900,loss = 0.002846034010872245
epoch8,batch3000,loss = 0.007806652691215277
epoch8,batch3100,loss = 0.07045327126979828
epoch8,batch3200,loss = 0.01928957924246788
epoch8,batch3300,loss = 0.04532885178923607
epoch8,batch3400,loss = 0.007965936325490475
epoch8,batch3500,loss = 0.06644780933856964
epoch8,batch3600,loss = 0.018370456993579865
epoch8,batch3700,loss = 0.11416616290807724
epoch8,batch3800,loss = 0.030674615874886513
epoch8,batch3900,loss = 0.3184815049171448
epoch8,batch4000,loss = 0.03687422722578049
epoch8,batch4100,loss = 0.003147725947201252
epoch8,batch4200,loss = 0.010597627609968185
epoch8,batch4300,loss = 0.5010954141616821
epoch8,batch4400,loss = 0.12121372669935226
epoch8,batch4500,loss = 0.2629428803920746
epoch8,batch4600,loss = 0.4734106659889221
epoch8,batch4700,loss = 2.3080137907527387e-05
epoch8,batch4800,loss = 0.04587739706039429
epoch8,batch4900,loss = 0.00023938696540426463
epoch8,batch5000,loss = 0.0020358115434646606
epoch9,batch100,loss = 0.0002284332731505856
epoch9,batch200,loss = 0.00023990422778297216
epoch9,batch300,loss = 0.006847676821053028
epoch9,batch400,loss = 0.00042566904448904097
epoch9,batch500,loss = 0.00016210453759413213
epoch9,batch600,loss = 0.00782658439129591
epoch9,batch700,loss = 0.010460717603564262
epoch9,batch800,loss = 9.581279300618917e-05
epoch9,batch900,loss = 0.0815201848745346
epoch9,batch1000,loss = 0.24728798866271973
epoch9,batch1100,loss = 0.005927599035203457
epoch9,batch1200,loss = 0.2625318169593811
epoch9,batch1300,loss = 0.006466604769229889
epoch9,batch1400,loss = 0.00018844491569325328
epoch9,batch1500,loss = 0.004611362237483263
epoch9,batch1600,loss = 0.008734365925192833
epoch9,batch1700,loss = 0.038754165172576904
epoch9,batch1800,loss = 0.00011133567022625357
epoch9,batch1900,loss = 0.004528514575213194
epoch9,batch2000,loss = 0.0011598649434745312
epoch9,batch2100,loss = 0.00031537728500552475
epoch9,batch2200,loss = 0.0077718934044241905
epoch9,batch2300,loss = 0.006091784685850143
epoch9,batch2400,loss = 0.0012169118272140622
epoch9,batch2500,loss = 0.016632795333862305
epoch9,batch2600,loss = 0.022384244948625565
epoch9,batch2700,loss = 0.023350009694695473
epoch9,batch2800,loss = 0.020972810685634613
epoch9,batch2900,loss = 0.11913666129112244
epoch9,batch3000,loss = 0.0019300214480608702
epoch9,batch3100,loss = 0.0003309613966848701
epoch9,batch3200,loss = 0.030217520892620087
epoch9,batch3300,loss = 0.08771413564682007
epoch9,batch3400,loss = 0.6781763434410095
epoch9,batch3500,loss = 0.0030365949496626854
epoch9,batch3600,loss = 0.4191361665725708
epoch9,batch3700,loss = 3.92306646972429e-05
epoch9,batch3800,loss = 0.10847155004739761
epoch9,batch3900,loss = 1.5750179954920895e-05
epoch9,batch4000,loss = 0.0032420498318970203
epoch9,batch4100,loss = 0.00047573968186043203
epoch9,batch4200,loss = 0.0025724261067807674
epoch9,batch4300,loss = 0.06425949931144714
epoch9,batch4400,loss = 0.0009406785247847438
epoch9,batch4500,loss = 0.023755360394716263
epoch9,batch4600,loss = 0.53529292345047
epoch9,batch4700,loss = 0.039953697472810745
epoch9,batch4800,loss = 0.6004483103752136
epoch9,batch4900,loss = 0.002975143725052476
epoch9,batch5000,loss = 0.004067744594067335
epoch10,batch100,loss = 0.007163581904023886
epoch10,batch200,loss = 0.00622027600184083
epoch10,batch300,loss = 0.0076812817715108395
epoch10,batch400,loss = 0.023276526480913162
epoch10,batch500,loss = 5.198278449825011e-05
epoch10,batch600,loss = 6.572422716999426e-05
epoch10,batch700,loss = 0.05816691741347313
epoch10,batch800,loss = 0.029408587142825127
epoch10,batch900,loss = 0.0024850182235240936
epoch10,batch1000,loss = 0.08359253406524658
epoch10,batch1100,loss = 0.5274235606193542
epoch10,batch1200,loss = 0.00036954658571630716
epoch10,batch1300,loss = 0.0003341524279676378
epoch10,batch1400,loss = 0.002520134672522545
epoch10,batch1500,loss = 0.0018733636243268847
epoch10,batch1600,loss = 0.47285789251327515
epoch10,batch1700,loss = 0.0006490941159427166
epoch10,batch1800,loss = 0.06087874993681908
epoch10,batch1900,loss = 0.00032715435372665524
epoch10,batch2000,loss = 0.07789291441440582
epoch10,batch2100,loss = 0.0003286628343630582
epoch10,batch2200,loss = 0.0021919652353972197
epoch10,batch2300,loss = 0.003431473858654499
epoch10,batch2400,loss = 0.0003032255044672638
epoch10,batch2500,loss = 0.03304295986890793
epoch10,batch2600,loss = 0.014394043944776058
epoch10,batch2700,loss = 7.331177130254218e-06
epoch10,batch2800,loss = 0.2541739046573639
epoch10,batch2900,loss = 0.0027367877773940563
epoch10,batch3000,loss = 0.00044820955372415483
epoch10,batch3100,loss = 0.003125513205304742
epoch10,batch3200,loss = 0.6242370009422302
epoch10,batch3300,loss = 0.16086505353450775
epoch10,batch3400,loss = 0.029887033626437187
epoch10,batch3500,loss = 4.819638706976548e-05
epoch10,batch3600,loss = 0.013338306918740273
epoch10,batch3700,loss = 0.06415744870901108
epoch10,batch3800,loss = 0.013039080426096916
epoch10,batch3900,loss = 5.1836148486472666e-05
epoch10,batch4000,loss = 6.974225107114762e-05
epoch10,batch4100,loss = 0.003210793947800994
epoch10,batch4200,loss = 0.0064848074689507484
epoch10,batch4300,loss = 0.00016870064428076148
epoch10,batch4400,loss = 0.006966522429138422
epoch10,batch4500,loss = 6.705514579152805e-07
epoch10,batch4600,loss = 0.00517241470515728
epoch10,batch4700,loss = 0.0025678810197860003
epoch10,batch4800,loss = 0.552969217300415
epoch10,batch4900,loss = 0.013542458415031433
epoch10,batch5000,loss = 3.010008185810875e-06
epoch11,batch100,loss = 0.005274957977235317
epoch11,batch200,loss = 0.0001510030124336481
epoch11,batch300,loss = 0.0006327174487523735
epoch11,batch400,loss = 0.00031285290606319904
epoch11,batch500,loss = 0.00020973847131244838
epoch11,batch600,loss = 0.12043696641921997
epoch11,batch700,loss = 3.3302138035651296e-05
epoch11,batch800,loss = 0.024961618706583977
epoch11,batch900,loss = 7.096081390045583e-05
epoch11,batch1000,loss = 0.017937520518898964
epoch11,batch1100,loss = 0.024454878643155098
epoch11,batch1200,loss = 3.0797986255493015e-05
epoch11,batch1300,loss = 0.0001232947106473148
epoch11,batch1400,loss = 3.462715176283382e-05
epoch11,batch1500,loss = 0.09005291014909744
epoch11,batch1600,loss = 0.0003513821866363287
epoch11,batch1700,loss = 2.369271214774926e-06
epoch11,batch1800,loss = 7.271616595971864e-06
epoch11,batch1900,loss = 0.06969907879829407
epoch11,batch2000,loss = 0.00015575208817608654
epoch11,batch2100,loss = 0.0015714950859546661
epoch11,batch2200,loss = 0.0421740859746933
epoch11,batch2300,loss = 7.450579175838357e-08
epoch11,batch2400,loss = 0.0011023624101653695
epoch11,batch2500,loss = 0.03328467160463333
epoch11,batch2600,loss = 0.0012052046367898583
epoch11,batch2700,loss = 0.0004105408152099699
epoch11,batch2800,loss = 0.00276572466827929
epoch11,batch2900,loss = 1.1712012565112673e-05
epoch11,batch3000,loss = 0.00021399631805252284
epoch11,batch3100,loss = 1.9951316062361002e-05
epoch11,batch3200,loss = 2.086160861836106e-07
epoch11,batch3300,loss = 0.003455793485045433
epoch11,batch3400,loss = 0.1732862889766693
epoch11,batch3500,loss = 0.10416936129331589
epoch11,batch3600,loss = 0.3793552815914154
epoch11,batch3700,loss = 0.7824239134788513
epoch11,batch3800,loss = 0.0003549953398760408
epoch11,batch3900,loss = 2.9802320611338473e-08
epoch11,batch4000,loss = 0.018979938700795174
epoch11,batch4100,loss = 2.0234951080055907e-05
epoch11,batch4200,loss = 0.0008371672593057156
epoch11,batch4300,loss = 1.3812727047479711e-05
epoch11,batch4400,loss = 7.033188467175933e-06
epoch11,batch4500,loss = 9.230872092302889e-05
epoch11,batch4600,loss = 1.4751449270988815e-05
epoch11,batch4700,loss = 0.03482850641012192
epoch11,batch4800,loss = 1.8312395695829764e-05
epoch11,batch4900,loss = 0.18738096952438354
epoch11,batch5000,loss = 7.42057181923883e-06
epoch12,batch100,loss = 0.0006499363225884736
epoch12,batch200,loss = 0.007302028592675924
epoch12,batch300,loss = 0.07906199991703033
epoch12,batch400,loss = 0.00046461739111691713
epoch12,batch500,loss = 0.00022216697107069194
epoch12,batch600,loss = 0.0014630293007940054
epoch12,batch700,loss = 0.3989078998565674
epoch12,batch800,loss = 0.00010129279689863324
epoch12,batch900,loss = 1.1473845233922475e-06
epoch12,batch1000,loss = 0.003137847175821662
epoch12,batch1100,loss = 0.00863756611943245
epoch12,batch1200,loss = 0.06823445111513138
epoch12,batch1300,loss = 9.521508218313102e-06
epoch12,batch1400,loss = 0.0006256455671973526
epoch12,batch1500,loss = 5.543180577660678e-06
epoch12,batch1600,loss = 5.8160716434940696e-05
epoch12,batch1700,loss = 2.9816019377904013e-05
epoch12,batch1800,loss = 0.0021374633070081472
epoch12,batch1900,loss = 7.048073712212499e-06
epoch12,batch2000,loss = 7.709904457442462e-05
epoch12,batch2100,loss = 8.072134369285777e-05
epoch12,batch2200,loss = 0.00020184538152534515
epoch12,batch2300,loss = 0.00021052452211733907
epoch12,batch2400,loss = 0.022529181092977524
epoch12,batch2500,loss = 0.05132151022553444
epoch12,batch2600,loss = 6.415247480617836e-05
epoch12,batch2700,loss = 0.00028938992181792855
epoch12,batch2800,loss = 0.0009686812991276383
epoch12,batch2900,loss = 0.0004904994275420904
